call_id,timestamp,model_name,provider,num_items_in_call,prompt_tokens,completion_tokens,total_tokens,duration_sec,api_status,error_message
6769ab18-04ad-4611-8965-0809c4b65f65,1749465042.1491597,qwen2.5,ollama,10,4096,1832,5928,101.48256325721741,SUCCESS,
28c3ab13-610b-4d25-9518-b6a4a931912f,1749465151.8126833,qwen2.5,ollama,10,4096,1946,6042,107.41627621650696,SUCCESS,
064276ad-af5e-43e0-ad91-49492bafdcbf,1749465254.4553216,qwen2.5,ollama,10,4096,1810,5906,100.3729338645935,SUCCESS,
818e1dfc-20e1-4495-bd5e-e8ee69ff03be,1749465349.0274427,qwen2.5,ollama,10,4096,1653,5749,92.3225200176239,SUCCESS,
c768fce6-709a-4ac5-bfcd-2da1f5f91b93,1749465433.4897423,qwen2.5,ollama,10,4096,1468,5564,82.22070240974426,SUCCESS,
c26c99d7-5c92-4eba-8a6f-b7c9eec768c2,1749465517.5514355,qwen2.5,ollama,10,4096,1461,5557,81.80910038948059,SUCCESS,
e51a88a8-fca0-4a4e-bcff-49fe0bb4469a,1749465611.7907116,qwen2.5,ollama,10,4096,1647,5743,92.00735116004944,SUCCESS,
39ddbf83-07f1-461d-ab43-1b707b1821b2,1749465715.1795886,qwen2.5,ollama,10,4096,1826,5922,101.14674425125122,SUCCESS,
63f5a8c6-c8b7-49b2-9971-84045dd6e28b,1749465808.098828,qwen2.5,ollama,10,4096,1637,5733,90.67213201522827,SUCCESS,
41c515f2-aabb-4a5c-ba70-54d2139d5464,1749465899.4420936,qwen2.5,ollama,10,4096,1599,5695,89.09659385681152,SUCCESS,
60d4536e-5362-47ae-adfa-dac8423145d2,1749466006.249135,qwen2.5,ollama,10,4096,1890,5986,104.55928421020508,SUCCESS,
55003a4d-afbd-4c4d-ab29-adca8ff8f7b4,1749466097.3160522,qwen2.5,ollama,10,4096,1601,5697,88.82316851615906,SUCCESS,
f0bdc53b-692e-4a14-9af8-59b830057eb6,1749466187.7259722,qwen2.5,ollama,10,4096,1577,5673,88.16862106323242,SUCCESS,
f9c2b230-dda9-4b61-8977-7e6bf67f6598,1749466282.8326626,qwen2.5,ollama,10,4096,1666,5762,92.86137270927429,SUCCESS,
e6ca8e7e-eff1-4db0-90f4-1dcf7f15859d,1749466378.6617408,qwen2.5,ollama,10,4096,1685,5781,93.40340304374695,SUCCESS,
e02082c8-6d21-46b1-8370-b6b88d70ff0d,1749466461.19482,qwen2.5,ollama,10,4096,1435,5531,80.29766249656677,SUCCESS,
d3710c44-902d-4a46-9761-033ab0efd583,1749466549.466302,qwen2.5,ollama,10,4096,1521,5617,86.0235333442688,SUCCESS,
f4de97f7-9d92-4950-9cc1-15a8cebb15c7,1749466644.6008499,qwen2.5,ollama,10,4096,1636,5732,92.88879203796387,SUCCESS,
68b534fd-446d-45d1-baa3-1f00efbb9820,1749466737.6181545,qwen2.5,ollama,10,4096,1591,5687,90.75452041625977,SUCCESS,
97b23eab-218a-4882-b9ca-4d5e813bae19,1749466829.2833056,qwen2.5,ollama,10,4096,1564,5660,89.3933539390564,SUCCESS,
1c3b9c99-b6e9-4c1d-9d1c-51c9f7b668e2,1749466926.4288733,qwen2.5,ollama,10,4096,1672,5768,94.88068222999573,SUCCESS,
a24a1578-0f33-42f4-9a00-aaf218505adf,1749467020.5047734,qwen2.5,ollama,10,4096,1623,5719,91.82269477844238,SUCCESS,
be66a9c0-f086-41b9-8c89-eca9717ccd90,1749467118.6729226,qwen2.5,ollama,10,4096,1685,5781,95.91575860977173,SUCCESS,
