Métrica,l0_size,Média,Mediana,DesvioPadrão,Mínimo,P25,P75,Máximo,IQR,CV (Mediana)
F1-Macro,50,0.018254155837094773,0.018068032881250563,0.002268359955262735,0.01404581900238593,0.01657909639111076,0.019857310019410553,0.02278077528160812,0.0032782136282997927,0.1255454782834253
F1-Macro,60,0.02135833454285653,0.02167475837357544,0.002273937627879275,0.01664042498880826,0.019659135745091802,0.02302219361660407,0.02566803107221981,0.0033630578715122678,0.10491178188817739
F1-Macro,70,0.024036336741302792,0.023679941835162685,0.0019172928809994506,0.02082853030164609,0.02293648769312532,0.02516179651843633,0.02881099114731332,0.0022253088253110093,0.08096695563607675
F1-Macro,80,0.027846512614913208,0.027091002023649252,0.0026314026135275206,0.02318453634573694,0.026114816808760183,0.029265881226227773,0.03637344674421927,0.0031510644174675903,0.09713197445035247
F1-Macro,90,0.03128241196309377,0.031189157018914445,0.0026153437190885864,0.02747906108061187,0.02901970550127549,0.03307466556954833,0.03816859425455433,0.004054960068272839,0.08385425850555278
F1-Macro,100,0.034341778873512425,0.03462486374670508,0.0026136683138927416,0.02958932328683418,0.032846457858694465,0.03542253683953703,0.04113533637301298,0.0025760789808425624,0.07548530031850767
F1-Macro,200,0.06164549473635113,0.06250462070534522,0.0039748390078890765,0.0538025610538627,0.05839582212594078,0.06407667404727616,0.06848508591143664,0.005680851921335377,0.06359272161708258
F1-Macro,300,0.08384265994346848,0.08466017103508885,0.0036362053731958887,0.07752471814013959,0.08094008969027863,0.08646001160730912,0.09021510972907303,0.00551992191703049,0.042950602222835095
F1-Macro,400,0.10327366617098492,0.1038101517819731,0.0054852223317363655,0.09460764829852754,0.09808909857345247,0.10775581403182442,0.1134502536284319,0.009666715458371958,0.05283897754448627
F1-Macro,500,0.11942207612554528,0.12019134384426275,0.004416270542792989,0.1088414354975199,0.11597934154155486,0.12246641609278107,0.1273928720762174,0.006487074551226213,0.036743665265709
F1-Macro,600,0.134566789870688,0.1344413625132761,0.003952670797147005,0.1282780887626922,0.1307764169238489,0.13778517528787415,0.1413706549155522,0.007008758364025258,0.029400704469623132
F1-Macro,700,0.14720872985936015,0.1475864320556125,0.005959717579763386,0.1339181933419463,0.14365904604184765,0.15211547364676647,0.1623590511612878,0.008456427604918826,0.040381202095437094
F1-Macro,800,0.15837836659612375,0.15787611767784435,0.005654948742284283,0.148828922789647,0.15391476589219152,0.16231925317759022,0.1687516260750363,0.008404487285398693,0.035818898954714885
F1-Macro,900,0.16801919578399824,0.16810711144054055,0.005627253828647883,0.1578622566854826,0.1649436866761455,0.17300126203704153,0.1788606713229633,0.008057575360896019,0.03347421621222744
F1-Macro,1000,0.17772823515384256,0.1760366249111408,0.007950712264380985,0.1626519067251169,0.17237902310318287,0.18549240929865496,0.190695081328785,0.013113386195472088,0.045165102564476096
F1-Macro,2000,0.2514228961709291,0.2517562416816739,0.006270829599313602,0.2393575360770182,0.24804684085441586,0.25525434592205115,0.2672178931359112,0.007207505067635289,0.024908338051591337
F1-Macro,3000,0.295356974266601,0.29540940063915055,0.004972233632055069,0.2865205989590655,0.29187837462755045,0.29789683750481355,0.3055566778890876,0.006018462877263098,0.016831670232786863
F1-Macro,4000,0.3275393799154852,0.32668146462580083,0.005154774820547157,0.3161957561727591,0.32429904759464845,0.33102938288861394,0.3398975969672689,0.006730335293965495,0.015779208075586765
F1-Macro,5000,0.34960346491113165,0.34775119189260084,0.005880562924761777,0.341132597354456,0.34472655044979383,0.3536091219482762,0.3626503408993382,0.008882571498482372,0.016910259533107985
F1-Macro,6000,0.37321768304265096,0.3736794123717996,0.008160380529839483,0.3578885748411696,0.36865103917510056,0.3790651466819765,0.389799051964309,0.010414107506875936,0.02183791838090945
F1-Macro,7000,0.3932101857011547,0.39347148142769073,0.006511315005841764,0.3791352774887339,0.3895866499254299,0.3967202087565416,0.4055298170083822,0.007133558831111719,0.016548378463586276
